"id","date_of_death","individual_id","registration_round","registration_date","registration_update_date","registration_user","registration_update_user"
1,NA,1,1,2018-08-17,2018-08-17,"user_1","user_1"
2,NA,2,3,2019-02-13,2019-02-13,"user_1","user_1"
3,NA,3,5,2019-08-12,2019-08-12,"user_1","user_1"
4,NA,4,5,2020-02-08,2020-02-08,"user_1","user_1"
5,NA,5,5,2020-08-06,2020-08-06,"user_1","user_1"
6,NA,6,6,2018-08-17,2018-08-17,"user_1","user_1"
7,NA,7,1,2019-02-13,2019-02-13,"user_1","user_1"
8,NA,8,1,2019-08-12,2019-08-12,"user_1","user_1"
9,NA,9,3,2020-02-08,2020-02-08,"user_1","user_1"
10,NA,10,5,2020-08-06,2020-08-06,"user_1","user_1"
11,NA,11,2,2018-08-17,2018-08-17,"user_1","user_1"
12,NA,12,5,2019-02-13,2019-02-13,"user_1","user_1"
13,NA,13,4,2019-08-12,2019-08-12,"user_1","user_1"
14,NA,14,6,2020-02-08,2020-02-08,"user_1","user_1"
15,NA,15,3,2020-08-06,2020-08-06,"user_1","user_1"
16,NA,16,4,2018-08-17,2018-08-17,"user_1","user_1"
17,NA,17,6,2019-02-13,2019-02-13,"user_1","user_1"
18,NA,18,5,2019-08-12,2019-08-12,"user_1","user_1"
19,NA,19,6,2020-02-08,2020-02-08,"user_1","user_1"
20,NA,20,4,2020-08-06,2020-08-06,"user_1","user_1"
21,NA,21,3,2018-08-17,2018-08-17,"user_1","user_1"
22,NA,22,1,2019-02-13,2019-02-13,"user_1","user_1"
23,NA,23,1,2019-08-12,2019-08-12,"user_1","user_1"
24,NA,24,3,2020-02-08,2020-02-08,"user_1","user_1"
25,NA,25,1,2020-08-06,2020-08-06,"user_1","user_1"
26,NA,26,3,2018-08-17,2018-08-17,"user_1","user_1"
27,NA,27,1,2019-02-13,2019-02-13,"user_1","user_1"
28,NA,28,4,2019-08-12,2019-08-12,"user_1","user_1"
29,NA,29,6,2020-02-08,2020-02-08,"user_1","user_1"
30,NA,30,6,2020-08-06,2020-08-06,"user_1","user_1"
31,NA,31,4,2018-08-17,2018-08-17,"user_1","user_1"
32,NA,32,5,2019-02-13,2019-02-13,"user_1","user_1"
33,NA,33,4,2019-08-12,2019-08-12,"user_1","user_1"
34,NA,34,3,2020-02-08,2020-02-08,"user_1","user_1"
35,NA,35,1,2020-08-06,2020-08-06,"user_1","user_1"
36,NA,36,3,2018-08-17,2018-08-17,"user_1","user_1"
