"id","admin_1","admin_2","admin_3","household_code","registration_round","registration_date","registration_update_date","registration_user","registration_update_user"
1,"A","A","A","A-A-A-1",6,2021-02-02,2021-02-02,"user_1","user_1"
2,"A","B","B","A-B-A-2",5,2020-08-06,2020-08-06,"user_1","user_1"
3,"A","C","C","A-C-A-3",3,2019-08-12,2019-08-12,"user_1","user_1"
4,"A","D","D","A-D-A-4",3,2019-08-12,2019-08-12,"user_1","user_1"
5,"A","E","E","A-E-A-5",4,2020-02-08,2020-02-08,"user_1","user_1"
6,"A","F","F","A-F-A-6",5,2020-08-06,2020-08-06,"user_1","user_1"
7,"A","A","G","A-A-A-7",6,2021-02-02,2021-02-02,"user_1","user_1"
8,"A","B","H","A-B-A-8",5,2020-08-06,2020-08-06,"user_1","user_1"
9,"A","C","I","A-C-A-9",3,2019-08-12,2019-08-12,"user_1","user_1"
10,"A","D","J","A-D-A-10",3,2019-08-12,2019-08-12,"user_1","user_1"
11,"A","E","K","A-E-A-11",4,2020-02-08,2020-02-08,"user_1","user_1"
12,"A","F","L","A-F-A-12",5,2020-08-06,2020-08-06,"user_1","user_1"
13,"A","A","A","A-A-A-13",6,2021-02-02,2021-02-02,"user_1","user_1"
14,"A","B","B","A-B-A-14",5,2020-08-06,2020-08-06,"user_1","user_1"
15,"A","C","C","A-C-A-15",3,2019-08-12,2019-08-12,"user_1","user_1"
16,"A","D","D","A-D-A-16",3,2019-08-12,2019-08-12,"user_1","user_1"
17,"A","E","E","A-E-A-17",4,2020-02-08,2020-02-08,"user_1","user_1"
18,"A","F","F","A-F-A-18",5,2020-08-06,2020-08-06,"user_1","user_1"
19,"A","A","G","A-A-A-19",6,2021-02-02,2021-02-02,"user_1","user_1"
20,"A","B","H","A-B-A-20",5,2020-08-06,2020-08-06,"user_1","user_1"
21,"A","C","I","A-C-A-21",3,2019-08-12,2019-08-12,"user_1","user_1"
22,"A","D","J","A-D-A-22",3,2019-08-12,2019-08-12,"user_1","user_1"
23,"A","E","K","A-E-A-23",4,2020-02-08,2020-02-08,"user_1","user_1"
24,"A","F","L","A-F-A-24",5,2020-08-06,2020-08-06,"user_1","user_1"
25,"A","A","A","A-A-A-25",6,2021-02-02,2021-02-02,"user_1","user_1"
26,"A","B","B","A-B-A-26",5,2020-08-06,2020-08-06,"user_1","user_1"
27,"A","C","C","A-C-A-27",3,2019-08-12,2019-08-12,"user_1","user_1"
28,"A","D","D","A-D-A-28",3,2019-08-12,2019-08-12,"user_1","user_1"
29,"A","E","E","A-E-A-29",4,2020-02-08,2020-02-08,"user_1","user_1"
