"id","admin_1","admin_2","admin_3","household_code","registration_round","registration_date","registration_update_date","registration_user","registration_update_user","members"
1,"A","A","A","A-A-A-1",6,"2021-02-02","2021-02-02","user_1","user_1",5973
2,"A","B","B","A-B-A-2",6,"2020-02-08","2020-02-08","user_1","user_1",6115
3,"A","C","C","A-C-A-3",6,"2018-08-17","2018-08-17","user_1","user_1",5971
4,"A","D","D","A-D-A-4",1,"2020-08-06","2020-08-06","user_1","user_1",5918
5,"A","E","E","A-E-A-5",2,"2019-02-13","2019-02-13","user_1","user_1",6115
6,"A","F","F","A-F-A-6",1,"2021-02-02","2021-02-02","user_1","user_1",5971
7,"A","A","G","A-A-A-7",3,"2021-02-02","2021-02-02","user_1","user_1",5918
8,"A","B","H","A-B-A-8",2,"2020-02-08","2020-02-08","user_1","user_1",6060
9,"A","C","I","A-C-A-9",1,"2018-08-17","2018-08-17","user_1","user_1",6101
10,"A","D","J","A-D-A-10",1,"2020-08-06","2020-08-06","user_1","user_1",5979
11,"A","E","K","A-E-A-11",4,"2019-02-13","2019-02-13","user_1","user_1",6035
12,"A","F","L","A-F-A-12",2,"2021-02-02","2021-02-02","user_1","user_1",6060
13,"A","A","A","A-A-A-13",5,"2021-02-02","2021-02-02","user_1","user_1",5971
14,"A","B","B","A-B-A-14",6,"2020-02-08","2020-02-08","user_1","user_1",6060
15,"A","C","C","A-C-A-15",3,"2018-08-17","2018-08-17","user_1","user_1",5971
16,"A","D","D","A-D-A-16",4,"2020-08-06","2020-08-06","user_1","user_1",6035
17,"A","E","E","A-E-A-17",1,"2019-02-13","2019-02-13","user_1","user_1",5866
18,"A","F","F","A-F-A-18",3,"2021-02-02","2021-02-02","user_1","user_1",5971
19,"A","A","G","A-A-A-19",2,"2021-02-02","2021-02-02","user_1","user_1",5971
20,"A","B","H","A-B-A-20",4,"2020-02-08","2020-02-08","user_1","user_1",6035
21,"A","C","I","A-C-A-21",6,"2018-08-17","2018-08-17","user_1","user_1",5979
22,"A","D","J","A-D-A-22",3,"2020-08-06","2020-08-06","user_1","user_1",5971
23,"A","E","K","A-E-A-23",5,"2019-02-13","2019-02-13","user_1","user_1",5973
24,"A","F","L","A-F-A-24",1,"2021-02-02","2021-02-02","user_1","user_1",5973
25,"A","A","A","A-A-A-25",3,"2021-02-02","2021-02-02","user_1","user_1",5979
26,"A","B","B","A-B-A-26",3,"2020-02-08","2020-02-08","user_1","user_1",6115
27,"A","C","C","A-C-A-27",2,"2018-08-17","2018-08-17","user_1","user_1",5918
28,"A","D","D","A-D-A-28",4,"2020-08-06","2020-08-06","user_1","user_1",5918
29,"A","E","E","A-E-A-29",2,"2019-02-13","2019-02-13","user_1","user_1",6101
30,"A","F","F","A-F-A-30",1,"2021-02-02","2021-02-02","user_1","user_1",5971
31,"A","A","G","A-A-A-31",4,"2021-02-02","2021-02-02","user_1","user_1",6115
32,"A","B","H","A-B-A-32",2,"2020-02-08","2020-02-08","user_1","user_1",6101
33,"A","C","I","A-C-A-33",1,"2018-08-17","2018-08-17","user_1","user_1",5866
34,"A","D","J","A-D-A-34",2,"2020-08-06","2020-08-06","user_1","user_1",5973
35,"A","E","K","A-E-A-35",3,"2019-02-13","2019-02-13","user_1","user_1",6035
36,"A","F","L","A-F-A-36",4,"2021-02-02","2021-02-02","user_1","user_1",6115
37,"A","A","A","A-A-A-37",2,"2021-02-02","2021-02-02","user_1","user_1",5918
38,"A","B","B","A-B-A-38",5,"2020-02-08","2020-02-08","user_1","user_1",6060
39,"A","C","C","A-C-A-39",2,"2018-08-17","2018-08-17","user_1","user_1",5918
40,"A","D","D","A-D-A-40",1,"2020-08-06","2020-08-06","user_1","user_1",5918
41,"A","E","E","A-E-A-41",3,"2019-02-13","2019-02-13","user_1","user_1",5971
42,"A","F","F","A-F-A-42",4,"2021-02-02","2021-02-02","user_1","user_1",5973
43,"A","A","G","A-A-A-43",4,"2021-02-02","2021-02-02","user_1","user_1",5979
44,"A","B","H","A-B-A-44",1,"2020-02-08","2020-02-08","user_1","user_1",6115
45,"A","C","I","A-C-A-45",2,"2018-08-17","2018-08-17","user_1","user_1",5973
46,"A","D","J","A-D-A-46",6,"2020-08-06","2020-08-06","user_1","user_1",5979
47,"A","E","K","A-E-A-47",5,"2019-02-13","2019-02-13","user_1","user_1",6060
48,"A","F","L","A-F-A-48",2,"2021-02-02","2021-02-02","user_1","user_1",6060
49,"A","A","A","A-A-A-49",2,"2021-02-02","2021-02-02","user_1","user_1",5971
50,"A","B","B","A-B-A-50",3,"2020-02-08","2020-02-08","user_1","user_1",5973
51,"A","C","C","A-C-A-51",1,"2018-08-17","2018-08-17","user_1","user_1",5973
52,"A","D","D","A-D-A-52",2,"2020-08-06","2020-08-06","user_1","user_1",6101
53,"A","E","E","A-E-A-53",1,"2019-02-13","2019-02-13","user_1","user_1",5973
54,"A","F","F","A-F-A-54",4,"2021-02-02","2021-02-02","user_1","user_1",6060
55,"A","A","G","A-A-A-55",1,"2021-02-02","2021-02-02","user_1","user_1",5971
56,"A","B","H","A-B-A-56",2,"2020-02-08","2020-02-08","user_1","user_1",6035
57,"A","C","I","A-C-A-57",5,"2018-08-17","2018-08-17","user_1","user_1",5973
58,"A","D","J","A-D-A-58",1,"2020-08-06","2020-08-06","user_1","user_1",5971
59,"A","E","K","A-E-A-59",2,"2019-02-13","2019-02-13","user_1","user_1",6060
60,"A","F","L","A-F-A-60",1,"2021-02-02","2021-02-02","user_1","user_1",6101
61,"A","A","A","A-A-A-61",4,"2021-02-02","2021-02-02","user_1","user_1",5973
62,"A","B","B","A-B-A-62",5,"2020-02-08","2020-02-08","user_1","user_1",6115
63,"A","C","C","A-C-A-63",5,"2018-08-17","2018-08-17","user_1","user_1",5918
64,"A","D","D","A-D-A-64",3,"2020-08-06","2020-08-06","user_1","user_1",6060
65,"A","E","E","A-E-A-65",5,"2019-02-13","2019-02-13","user_1","user_1",5971
66,"A","F","F","A-F-A-66",1,"2021-02-02","2021-02-02","user_1","user_1",5866
67,"A","A","G","A-A-A-67",3,"2021-02-02","2021-02-02","user_1","user_1",6060
68,"A","B","H","A-B-A-68",6,"2020-02-08","2020-02-08","user_1","user_1",6060
69,"A","C","I","A-C-A-69",4,"2018-08-17","2018-08-17","user_1","user_1",6035
70,"A","D","J","A-D-A-70",3,"2020-08-06","2020-08-06","user_1","user_1",5982
71,"A","E","K","A-E-A-71",4,"2019-02-13","2019-02-13","user_1","user_1",6115
72,"A","F","L","A-F-A-72",6,"2021-02-02","2021-02-02","user_1","user_1",5971
73,"A","A","A","A-A-A-73",4,"2021-02-02","2021-02-02","user_1","user_1",5918
74,"A","B","B","A-B-A-74",3,"2020-02-08","2020-02-08","user_1","user_1",5973
75,"A","C","C","A-C-A-75",1,"2018-08-17","2018-08-17","user_1","user_1",5982
76,"A","D","D","A-D-A-76",3,"2020-08-06","2020-08-06","user_1","user_1",5973
77,"A","E","E","A-E-A-77",4,"2019-02-13","2019-02-13","user_1","user_1",5866
78,"A","F","F","A-F-A-78",1,"2021-02-02","2021-02-02","user_1","user_1",6035
79,"A","A","G","A-A-A-79",5,"2021-02-02","2021-02-02","user_1","user_1",5866
80,"A","B","H","A-B-A-80",5,"2020-02-08","2020-02-08","user_1","user_1",6101
81,"A","C","I","A-C-A-81",1,"2018-08-17","2018-08-17","user_1","user_1",5918
82,"A","D","J","A-D-A-82",6,"2020-08-06","2020-08-06","user_1","user_1",5973
83,"A","E","K","A-E-A-83",4,"2019-02-13","2019-02-13","user_1","user_1",5971
84,"A","F","L","A-F-A-84",4,"2021-02-02","2021-02-02","user_1","user_1",5866
85,"A","A","A","A-A-A-85",1,"2021-02-02","2021-02-02","user_1","user_1",5973
86,"A","B","B","A-B-A-86",1,"2020-02-08","2020-02-08","user_1","user_1",5979
87,"A","C","C","A-C-A-87",3,"2018-08-17","2018-08-17","user_1","user_1",5979
88,"A","D","D","A-D-A-88",6,"2020-08-06","2020-08-06","user_1","user_1",5979
89,"A","E","E","A-E-A-89",2,"2019-02-13","2019-02-13","user_1","user_1",5973
90,"A","F","F","A-F-A-90",3,"2021-02-02","2021-02-02","user_1","user_1",5918
91,"A","A","G","A-A-A-91",5,"2021-02-02","2021-02-02","user_1","user_1",6035
92,"A","B","H","A-B-A-92",6,"2020-02-08","2020-02-08","user_1","user_1",5971
93,"A","C","I","A-C-A-93",2,"2018-08-17","2018-08-17","user_1","user_1",6101
94,"A","D","J","A-D-A-94",1,"2020-08-06","2020-08-06","user_1","user_1",6035
95,"A","E","K","A-E-A-95",3,"2019-02-13","2019-02-13","user_1","user_1",6060
96,"A","F","L","A-F-A-96",5,"2021-02-02","2021-02-02","user_1","user_1",5918
97,"A","A","A","A-A-A-97",2,"2021-02-02","2021-02-02","user_1","user_1",5866
98,"A","B","B","A-B-A-98",2,"2020-02-08","2020-02-08","user_1","user_1",6101
99,"A","C","C","A-C-A-99",2,"2018-08-17","2018-08-17","user_1","user_1",6035
100,"A","D","D","A-D-A-100",5,"2020-08-06","2020-08-06","user_1","user_1",5979
101,"A","E","E","A-E-A-101",3,"2019-02-13","2019-02-13","user_1","user_1",5866
102,"A","F","F","A-F-A-102",4,"2021-02-02","2021-02-02","user_1","user_1",6115
103,"A","A","G","A-A-A-103",3,"2021-02-02","2021-02-02","user_1","user_1",5979
104,"A","B","H","A-B-A-104",6,"2020-02-08","2020-02-08","user_1","user_1",6060
105,"A","C","I","A-C-A-105",1,"2018-08-17","2018-08-17","user_1","user_1",5973
106,"A","D","J","A-D-A-106",2,"2020-08-06","2020-08-06","user_1","user_1",6035
107,"A","E","K","A-E-A-107",6,"2019-02-13","2019-02-13","user_1","user_1",5973
108,"A","F","L","A-F-A-108",2,"2021-02-02","2021-02-02","user_1","user_1",5971
109,"A","A","A","A-A-A-109",6,"2021-02-02","2021-02-02","user_1","user_1",6035
110,"A","B","B","A-B-A-110",1,"2020-02-08","2020-02-08","user_1","user_1",6101
111,"A","C","C","A-C-A-111",1,"2018-08-17","2018-08-17","user_1","user_1",6035
112,"A","D","D","A-D-A-112",3,"2020-08-06","2020-08-06","user_1","user_1",5979
113,"A","E","E","A-E-A-113",6,"2019-02-13","2019-02-13","user_1","user_1",6101
114,"A","F","F","A-F-A-114",4,"2021-02-02","2021-02-02","user_1","user_1",6035
115,"A","A","G","A-A-A-115",6,"2021-02-02","2021-02-02","user_1","user_1",6115
116,"A","B","H","A-B-A-116",2,"2020-02-08","2020-02-08","user_1","user_1",6035
117,"A","C","I","A-C-A-117",5,"2018-08-17","2018-08-17","user_1","user_1",5918
118,"A","D","J","A-D-A-118",6,"2020-08-06","2020-08-06","user_1","user_1",5918
119,"A","E","K","A-E-A-119",3,"2019-02-13","2019-02-13","user_1","user_1",5979
120,"A","F","L","A-F-A-120",3,"2021-02-02","2021-02-02","user_1","user_1",6115
121,"A","A","A","A-A-A-121",1,"2021-02-02","2021-02-02","user_1","user_1",5982
122,"A","B","B","A-B-A-122",4,"2020-02-08","2020-02-08","user_1","user_1",6115
123,"A","C","C","A-C-A-123",4,"2018-08-17","2018-08-17","user_1","user_1",5971
124,"A","D","D","A-D-A-124",1,"2020-08-06","2020-08-06","user_1","user_1",6060
125,"A","E","E","A-E-A-125",5,"2019-02-13","2019-02-13","user_1","user_1",6060
126,"A","F","F","A-F-A-126",2,"2021-02-02","2021-02-02","user_1","user_1",5866
127,"A","A","G","A-A-A-127",3,"2021-02-02","2021-02-02","user_1","user_1",6035
128,"A","B","H","A-B-A-128",5,"2020-02-08","2020-02-08","user_1","user_1",6035
129,"A","C","I","A-C-A-129",1,"2018-08-17","2018-08-17","user_1","user_1",5982
130,"A","D","J","A-D-A-130",3,"2020-08-06","2020-08-06","user_1","user_1",5918
131,"A","E","K","A-E-A-131",5,"2019-02-13","2019-02-13","user_1","user_1",5918
132,"A","F","L","A-F-A-132",5,"2021-02-02","2021-02-02","user_1","user_1",5979
133,"A","A","A","A-A-A-133",1,"2021-02-02","2021-02-02","user_1","user_1",5866
134,"A","B","B","A-B-A-134",3,"2020-02-08","2020-02-08","user_1","user_1",5866
135,"A","C","C","A-C-A-135",1,"2018-08-17","2018-08-17","user_1","user_1",5866
136,"A","D","D","A-D-A-136",3,"2020-08-06","2020-08-06","user_1","user_1",5918
137,"A","E","E","A-E-A-137",5,"2019-02-13","2019-02-13","user_1","user_1",6035
138,"A","F","F","A-F-A-138",4,"2021-02-02","2021-02-02","user_1","user_1",5918
139,"A","A","G","A-A-A-139",3,"2021-02-02","2021-02-02","user_1","user_1",6060
140,"A","B","H","A-B-A-140",3,"2020-02-08","2020-02-08","user_1","user_1",5982
141,"A","C","I","A-C-A-141",6,"2018-08-17","2018-08-17","user_1","user_1",6035
142,"A","D","J","A-D-A-142",6,"2020-08-06","2020-08-06","user_1","user_1",5973
143,"A","E","K","A-E-A-143",4,"2019-02-13","2019-02-13","user_1","user_1",5866
144,"A","F","L","A-F-A-144",4,"2021-02-02","2021-02-02","user_1","user_1",6101
145,"A","A","A","A-A-A-145",3,"2021-02-02","2021-02-02","user_1","user_1",5971
146,"A","B","B","A-B-A-146",6,"2020-02-08","2020-02-08","user_1","user_1",5918
147,"A","C","C","A-C-A-147",3,"2018-08-17","2018-08-17","user_1","user_1",5982
148,"A","D","D","A-D-A-148",1,"2020-08-06","2020-08-06","user_1","user_1",5918
149,"A","E","E","A-E-A-149",2,"2019-02-13","2019-02-13","user_1","user_1",5918
150,"A","F","F","A-F-A-150",1,"2021-02-02","2021-02-02","user_1","user_1",5973
151,"A","A","G","A-A-A-151",6,"2021-02-02","2021-02-02","user_1","user_1",6060
152,"A","B","H","A-B-A-152",4,"2020-02-08","2020-02-08","user_1","user_1",6060
153,"A","C","I","A-C-A-153",5,"2018-08-17","2018-08-17","user_1","user_1",5979
154,"A","D","J","A-D-A-154",6,"2020-08-06","2020-08-06","user_1","user_1",5918
155,"A","E","K","A-E-A-155",3,"2019-02-13","2019-02-13","user_1","user_1",6115
156,"A","F","L","A-F-A-156",1,"2021-02-02","2021-02-02","user_1","user_1",6060
157,"A","A","A","A-A-A-157",5,"2021-02-02","2021-02-02","user_1","user_1",6115
158,"A","B","B","A-B-A-158",5,"2020-02-08","2020-02-08","user_1","user_1",6060
159,"A","C","C","A-C-A-159",5,"2018-08-17","2018-08-17","user_1","user_1",6060
160,"A","D","D","A-D-A-160",3,"2020-08-06","2020-08-06","user_1","user_1",6060
161,"A","E","E","A-E-A-161",4,"2019-02-13","2019-02-13","user_1","user_1",6035
162,"A","F","F","A-F-A-162",3,"2021-02-02","2021-02-02","user_1","user_1",5866
163,"A","A","G","A-A-A-163",3,"2021-02-02","2021-02-02","user_1","user_1",6035
164,"A","B","H","A-B-A-164",4,"2020-02-08","2020-02-08","user_1","user_1",6035
165,"A","C","I","A-C-A-165",6,"2018-08-17","2018-08-17","user_1","user_1",5979
166,"A","D","J","A-D-A-166",1,"2020-08-06","2020-08-06","user_1","user_1",6060
167,"A","E","K","A-E-A-167",6,"2019-02-13","2019-02-13","user_1","user_1",6035
168,"A","F","L","A-F-A-168",2,"2021-02-02","2021-02-02","user_1","user_1",6115
169,"A","A","A","A-A-A-169",2,"2021-02-02","2021-02-02","user_1","user_1",5979
170,"A","B","B","A-B-A-170",6,"2020-02-08","2020-02-08","user_1","user_1",5918
171,"A","C","C","A-C-A-171",1,"2018-08-17","2018-08-17","user_1","user_1",5982
172,"A","D","D","A-D-A-172",6,"2020-08-06","2020-08-06","user_1","user_1",5866
173,"A","E","E","A-E-A-173",2,"2019-02-13","2019-02-13","user_1","user_1",5918
174,"A","F","F","A-F-A-174",3,"2021-02-02","2021-02-02","user_1","user_1",5918
175,"A","A","G","A-A-A-175",5,"2021-02-02","2021-02-02","user_1","user_1",6035
176,"A","B","H","A-B-A-176",2,"2020-02-08","2020-02-08","user_1","user_1",6035
177,"A","C","I","A-C-A-177",6,"2018-08-17","2018-08-17","user_1","user_1",6035
178,"A","D","J","A-D-A-178",3,"2020-08-06","2020-08-06","user_1","user_1",6115
179,"A","E","K","A-E-A-179",5,"2019-02-13","2019-02-13","user_1","user_1",5982
180,"A","F","L","A-F-A-180",1,"2021-02-02","2021-02-02","user_1","user_1",5866
181,"A","A","A","A-A-A-181",5,"2021-02-02","2021-02-02","user_1","user_1",5973
182,"A","B","B","A-B-A-182",5,"2020-02-08","2020-02-08","user_1","user_1",5979
183,"A","C","C","A-C-A-183",3,"2018-08-17","2018-08-17","user_1","user_1",6115
184,"A","D","D","A-D-A-184",3,"2020-08-06","2020-08-06","user_1","user_1",5979
185,"A","E","E","A-E-A-185",4,"2019-02-13","2019-02-13","user_1","user_1",5866
186,"A","F","F","A-F-A-186",3,"2021-02-02","2021-02-02","user_1","user_1",5866
187,"A","A","G","A-A-A-187",6,"2021-02-02","2021-02-02","user_1","user_1",6115
188,"A","B","H","A-B-A-188",4,"2020-02-08","2020-02-08","user_1","user_1",6115
189,"A","C","I","A-C-A-189",6,"2018-08-17","2018-08-17","user_1","user_1",5866
190,"A","D","J","A-D-A-190",6,"2020-08-06","2020-08-06","user_1","user_1",5979
